ticker,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy
AAPL,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,38.05774278215223,1030.517671966553,1048.3195892333983,3.0517671966553053,7.009356790575406,14.767169155502845,24.125906656423943,0.6120876353291713,1.1919702161462795,1.0420925536813301,-14.170688681476385,-5.019876652222907,53 days 05:00:00,18 days 02:00:00,18,66.66666666666666,3.038492059465381,-2.5061371038492153,0.04318584437481565,14 days 20:00:00,2 days 02:00:00,1.1151934148007119,0.05245671100773551,0.31465139610471826,XABCD
ADBE,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,24.671916010498688,1001.4200439453125,1042.8800048828125,0.14200439453125,14.331094985278522,0.6522950236792724,9.722070346698612,0.06709425054723828,0.09902994622730267,0.13286446996718138,-4.909476730990569,-2.1928522281378404,7 days 04:00:00,4 days 01:00:00,2,50.0,0.11766825280599136,0.0,0.05881682930595211,20 days 06:00:00,10 days 03:00:00,,0.05883412640299568,1.0000000000000002,XABCD
AMD,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,37.79527559055118,841.4298210144043,1030.9600219726562,-15.857017898559569,17.29152635292136,-54.66374423836506,20.911813639336625,0.0,0.0,0.0,-25.243484436822882,-14.188240838140203,63 days 01:00:00,31 days 14:00:00,8,25.0,3.0772534257337503,-3.6747576767545587,-1.3413634049172618,21 days 00:00:00,4 days 02:00:00,0.29249120427962716,-1.3147922522263156,-1.3609811378281629,XABCD
AMZN,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,48.29396325459317,1132.2644016265867,1190.1549625396729,13.226440162658673,2.9021997892573275,76.67669038827056,77.54345233930093,0.9888222419187922,3.4535066424885312,6.366587232611522,-12.04360948602261,-3.2142451076808833,39 days 04:00:00,6 days 21:00:00,26,57.692307692307686,3.266737107567552,-2.492005330454461,0.24771364143076902,21 days 00:00:00,1 days 15:00:00,1.8918346672846955,0.2540461926381512,1.35505831261867,XABCD
AVGO,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,47.24409448818898,995.5359588623047,1053.6580688476563,-0.44640411376952893,8.854746452175585,-2.029053311512785,25.41371489807971,0.0,0.0,0.0,-15.717733416397428,-15.717733416397428,53 days 05:00:00,53 days 05:00:00,12,41.66666666666667,9.33802824543788,-3.1995420436143007,-0.06123954334492643,21 days 00:00:00,3 days 17:00:00,0.9862194673597923,-0.013460486694741314,-0.040928977203015485,XABCD
BA,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,20.73490813648294,899.3690673828128,1032.902473449707,-10.063093261718722,13.71091142171735,-38.48910505457034,21.077064540071216,0.0,0.0,0.0,-23.052439874011334,-23.052439874011334,59 days 07:00:00,59 days 07:00:00,8,37.5,7.033499182562375,-2.677708344312002,-0.5101711331325975,7 days 06:00:00,3 days 01:00:00,0.7156027208740197,-0.4586399589563653,-0.8116721469278956,XABCD
BAC,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,11.548556430446194,896.5904982566835,1052.910120010376,-10.340950174331647,7.781082129386877,-39.355009502903684,15.481682499568667,0.0,0.0,0.0,-17.504267160177235,-17.504267160177235,56 days 07:00:00,56 days 07:00:00,10,30.0,1.7244581863770758,-2.500000000000002,-0.5852155938236181,3 days 19:00:00,1 days 15:00:00,0.35539565709043497,-0.57491159617168,-1.0232352812330714,XABCD
CRM,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,31.496062992125985,1253.8381561279296,1324.1462615966796,25.383815612792954,16.161977654845654,181.91916996425843,100.5233247812345,1.8097209812763648,11.974195380427727,28.3330374837633,-6.42074363077062,-1.316608544256407,22 days 18:00:00,3 days 10:00:00,8,62.5,19.18975436879635,-0.9732768052789997,2.304014792814435,25 days 00:00:00,3 days 14:00:00,10.643395982204144,2.4854442905599377,1.0409967419602186,XABCD
CVX,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,10.498687664041995,732.7852581024172,1000.0,-26.721474189758283,-13.559477274378509,-75.9371037792828,7.441000890180051,0.0,0.0,0.0,-27.477968330383284,-27.477968330383284,45 days 02:00:00,45 days 02:00:00,10,30.0,0.27253891683494125,-2.52127941091993,-1.589596674673388,5 days 18:00:00,2 days 02:00:00,0.03885178350841146,-1.5822952432168877,-3.6287411555114244,XABCD
DIS,2023-09-18 09:30:00-04:00,2023-12-04 15:30:00-05:00,77 days 07:00:00,22.30971128608924,1014.6390794754027,1085.4043697357176,1.4639079475402696,7.923294939220334,6.885436928720501,16.162178229632328,0.4260215938032715,0.64405116830687,1.0560944924384816,-6.5197167280195645,-1.851153765191127,38 days 01:00:00,5 days 22:00:00,4,75.0,1.0322031566923795,-2.500000000000002,-0.11831193130380502,10 days 02:00:00,4 days 22:00:00,0.8264951143772717,-0.10844055351420523,0.30256220832798175,XABCD
